month,day,hour,wind speed,irradiance,temp,humidity
1,1,1,2.700000048,0,7.900000095,96
1,1,2,2.200000048,0,7.699999809,96
1,1,3,3,0,7.800000191,96
1,1,4,2.700000048,0,7.300000191,97
1,1,5,1.899999976,0,7.099999905,100
1,1,6,2.5,0,7.199999809,101
1,1,7,0.699999988,0,7,100
1,1,8,0.100000001,0,7,100
1,1,9,0.800000012,1,6.300000191,100
1,1,10,0.400000006,13,6.099999905,98
1,1,11,0.5,23,6.199999809,98
1,1,12,0.5,23,6.400000095,98
1,1,13,0,29,6.400000095,97
1,1,14,0.100000001,30,6.400000095,96
1,1,15,0,16,6.199999809,96
1,1,16,0.200000003,2,5.900000095,94
1,1,17,0,0,5.099999905,93
1,1,18,0.200000003,0,4.800000191,91
1,1,19,0.400000006,0,4.599999905,89
1,1,20,0.100000001,0,4.900000095,90
1,1,21,0.100000001,0,4.900000095,90
1,1,22,0.5,0,4.199999809,91
1,1,23,0.200000003,0,3.5,92
1,2,0,0.400000006,0,2.700000048,93
1,2,1,0.200000003,0,2.099999905,93
1,2,2,1,0,1.600000024,94
1,2,3,1,0,1.200000048,92
1,2,4,0.600000024,0,0.300000012,92
1,2,5,1.100000024,0,0.600000024,89
1,2,6,0.100000001,0,0.400000006,89
1,2,7,0.300000012,0,0.800000012,89
1,2,8,0.200000003,0,1.299999952,88
1,2,9,0,4,1.399999976,85
1,2,10,0,27,1.200000048,87
1,2,11,0.300000012,87,4.599999905,72
1,2,12,1.100000024,157,4.599999905,71
1,2,13,1.899999976,161,5.400000095,70
1,2,14,1.299999952,57,5.300000191,65
1,2,15,0.5,11,3.700000048,75
1,2,16,1.100000024,0,3.299999952,85
1,2,17,2.900000095,0,3,92
1,2,18,1.200000048,0,2.5,95
1,2,19,0.699999988,0,3.099999905,93
1,2,20,1.299999952,0,3.900000095,92
1,2,21,0.5,0,4.099999905,90
1,2,22,0.5,0,3.799999952,87
1,2,23,1.200000048,0,4,88
1,3,0,0.899999976,0,3.5,92
1,3,1,0.5,0,3.599999905,92
1,3,2,0.899999976,0,4.199999809,93
1,3,3,1.799999952,0,4.699999809,92
1,3,4,0.699999988,0,4.699999809,90
1,3,5,1.5,0,5.300000191,91
1,3,6,0.800000012,0,5.099999905,94
1,3,7,0.899999976,0,5.900000095,93
1,3,8,1.200000048,0,6,94
1,3,9,2,1,6.099999905,96
1,3,10,2.5,10,6.300000191,98
1,3,11,3.900000095,26,6.5,98
1,3,12,4.099999905,18,6.699999809,98
1,3,13,2.799999952,16,6.800000191,99
1,3,14,2.900000095,14,6.900000095,100
1,3,15,2.900000095,5,7.199999809,100
1,3,16,2.299999952,3,7.400000095,100
1,3,17,3,0,7.699999809,97
1,3,18,4.699999809,0,7.599999905,89
1,3,19,3.099999905,0,7.699999809,83
1,3,20,4.5,0,7.400000095,84
1,3,21,4.800000191,0,5.5,88
1,3,22,3.700000048,0,5,87
1,3,23,4.5,0,5.199999809,65
1,4,0,3,0,5.400000095,59
1,4,1,6.400000095,0,5.800000191,62
1,4,2,3.700000048,0,6.099999905,68
1,4,3,4.199999809,0,5,84
1,4,4,3.700000048,0,5.599999905,75
1,4,5,4.300000191,0,6,67
1,4,6,5.199999809,0,5.599999905,66
1,4,7,4.800000191,0,5.599999905,69
1,4,8,4.599999905,0,4.800000191,81
1,4,9,3,7,5.5,78
1,4,10,3.299999952,66,5.400000095,73
1,4,11,4.099999905,133,5.5,63
1,4,12,4.699999809,154,5.099999905,58
1,4,13,5.900000095,171,5.099999905,54
1,4,14,3.799999952,34,3.700000048,61
1,4,15,5.400000095,40,3,61
1,4,16,2.200000048,5,1.600000024,60
1,4,17,4.400000095,0,1.200000048,57
1,4,18,1.600000024,0,0.600000024,60
1,4,19,1,0,0.300000012,56
1,4,20,1.399999976,0,0.400000006,49
1,4,21,3.299999952,0,0.300000012,48
1,4,22,2.599999905,0,0,54
1,4,23,1.899999976,0,-0.699999988,63
1,5,0,1.899999976,0,-0.899999976,75
1,5,1,1.299999952,0,-1.299999952,81
1,5,2,1.200000048,0,-1.799999952,86
1,5,3,1.399999976,0,-1.799999952,87
1,5,4,1.5,0,-2.099999905,86
1,5,5,1.5,0,-2.200000048,79
1,5,6,1.600000024,0,-3.099999905,73
1,5,7,1.700000048,0,-3.700000048,76
1,5,8,1.100000024,0,-4.099999905,76
1,5,9,0.800000012,7,-4.5,79
1,5,10,1.100000024,72,-3.5,80
1,5,11,1.700000048,146,-2.700000048,75
1,5,12,0.899999976,168,-2.099999905,70
1,5,13,1.899999976,174,-2.200000048,68
1,5,14,1.100000024,136,-1,59
1,5,15,0.699999988,68,-2.299999952,57
1,5,16,0.600000024,6,-3.599999905,61
1,5,17,0.100000001,0,-4.5,66
1,5,18,0,0,-5.300000191,70
1,5,19,0,0,-6,71
1,5,20,0,0,-6.5,73
1,5,21,0,0,-7.099999905,75
1,5,22,0,0,-7.599999905,77
1,5,23,0,0,-7.5,78
1,6,0,0,0,-7.699999809,81
1,6,1,0,0,-8,82
1,6,2,0,0,-8.100000381,85
1,6,3,1.5,0,-7.199999809,83
1,6,4,0.800000012,0,-7.199999809,82
1,6,5,1.299999952,0,-6.400000095,82
1,6,6,1.899999976,0,-5.400000095,84
1,6,7,3.799999952,0,-4,74
1,6,8,2.200000048,0,-3.900000095,73
1,6,9,4.199999809,10,-4,75
1,6,10,4,79,-3.400000095,74
1,6,11,4.5,133,-3,73
1,6,12,4.099999905,82,-3.200000048,75
1,6,13,4.300000191,68,-3.099999905,76
1,6,14,5.800000191,80,-2.799999952,79
1,6,15,3.099999905,39,-1.5,72
1,6,16,2.700000048,4,-1.899999976,74
1,6,17,2.400000095,0,-2.400000095,74
1,6,18,3.200000048,0,-1.200000048,69
1,6,19,2.700000048,0,-0.800000012,68
1,6,20,4.699999809,0,-0.600000024,72
1,6,21,3.299999952,0,-0.300000012,77
1,6,22,4.699999809,0,0,80
1,6,23,3.700000048,0,-0.200000003,89
1,7,0,3.400000095,0,-0.100000001,94
1,7,1,3.900000095,0,0.5,98
1,7,2,4.400000095,0,1.100000024,98
1,7,3,3.299999952,0,1.600000024,99
1,7,4,2.599999905,0,2.5,100
1,7,5,2.900000095,0,3,100
1,7,6,3.5,0,3.700000048,101
1,7,7,1.799999952,0,4.300000191,101
1,7,8,2.299999952,0,4.900000095,101
1,7,9,1.600000024,1,5.599999905,102
1,7,10,0.600000024,16,5.900000095,101
1,7,11,1.5,46,6.5,101
1,7,12,1.100000024,94,6.699999809,101
1,7,13,0.5,67,6.599999905,100
1,7,14,1.100000024,31,6.099999905,100
1,7,15,2.400000095,20,6.199999809,99
1,7,16,1.700000048,6,5.599999905,94
1,7,17,1,0,5,87
1,7,18,1.5,0,4.699999809,87
1,7,19,0.699999988,0,3.799999952,91
1,7,20,1.200000048,0,3.099999905,94
1,7,21,1.5,0,2.5,96
1,7,22,0.899999976,0,2,97
1,7,23,1.700000048,0,1.799999952,98
1,8,0,0.600000024,0,2.299999952,97
1,8,1,0.5,0,2.400000095,96
1,8,2,0.200000003,0,2.400000095,95
1,8,3,0.200000003,0,2.5,94
1,8,4,0,0,2.700000048,92
1,8,5,0,0,2.599999905,91
1,8,6,0,0,2.799999952,89
1,8,7,0,0,2.599999905,89
1,8,8,0,0,2.700000048,88
1,8,9,0,3,2.700000048,87
1,8,10,0.300000012,21,2.299999952,88
1,8,11,0.100000001,64,2.599999905,87
1,8,12,1.299999952,94,2.400000095,86
1,8,13,1.299999952,172,3.599999905,80
1,8,14,0.5,100,5.199999809,74
1,8,15,0.5,43,3.5,83
1,8,16,0.100000001,4,2.599999905,87
1,8,17,0.699999988,0,2.400000095,90
1,8,18,0.200000003,0,2.400000095,93
1,8,19,0.600000024,0,2.299999952,94
1,8,20,0.800000012,0,2.700000048,94
1,8,21,0.699999988,0,3.599999905,95
1,8,22,0.5,0,4.599999905,95
1,8,23,1.299999952,0,5.199999809,95
1,9,0,1.100000024,0,5.599999905,95
1,9,1,1.600000024,0,5.599999905,96
1,9,2,2.299999952,0,5.699999809,96
1,9,3,1.100000024,0,5.599999905,98
1,9,4,1.5,0,5.800000191,99
1,9,5,0.899999976,0,5.900000095,100
1,9,6,2.099999905,0,5.699999809,100
1,9,7,1.5,0,5.599999905,100
1,9,8,3.299999952,0,5.800000191,100
1,9,9,2.700000048,4,5.699999809,100
1,9,10,2.5,24,5.800000191,99
1,9,11,2.599999905,89,5.699999809,98
1,9,12,4.300000191,107,5.699999809,95
1,9,13,3.299999952,94,5.199999809,94
1,9,14,3.900000095,67,4.900000095,92
1,9,15,3.900000095,17,4.300000191,91
1,9,16,4.599999905,3,3.5,89
1,9,17,5.599999905,0,2.900000095,90
1,9,18,5.5,0,2.299999952,94
1,9,19,4.599999905,0,1.799999952,97
1,9,20,4.300000191,0,1.899999976,99
1,9,21,4.800000191,0,2.099999905,100
1,9,22,4.900000095,0,2,100
1,9,23,6.599999905,0,2.099999905,101
1,10,0,5.900000095,0,2.200000048,101
1,10,1,4.699999809,0,2.299999952,102
1,10,2,4.699999809,0,2.299999952,102
1,10,3,5.199999809,0,2.5,102
1,10,4,5.599999905,0,2.700000048,102
1,10,5,4.800000191,0,2.799999952,102
1,10,6,6,0,2.799999952,102
